loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-05-12T10:41:53.344+02:00,1652344910.999881,53.22899248921613,10.39847172797695,38.14962,0,0.84,204.2578125,98.21611218916738,4,5,-9999,3364.605276125,0.03118896484375,-0.630523681640625,-0.7717742919921875,3364.595281125,-1.300747202761152,0.03333615408649516,0.6923652637172568,0.03803347423672676,-0.07415406405925751,-0.1002178490161896,0.02315688133239746,0.005913197994232178,0.01726597547531128,XArbitraryZVertical,-0.2794975384043168,0.1929398989238038,0.5649833568359101,-0.7519635755471515,0.0256553627550602,-0.6383596062660217,-0.7693106532096863,0,0,0,-1,-1,3362.922261416667,walking,2,2022-05-12T10:41:51.615+02:00,2022-05-11T22:15:20.957+02:00,965,0.8971741,0.7273178,1.766518,725.3952,0,0,2022-05-12T10:41:51.615+02:00,674037711.6148489,0,-3.23,100.9488,1,0.93
2022-05-12T10:41:53.348+02:00,1652344910.999881,53.22899248921613,10.39847172797695,38.14962,0,0.84,204.2578125,98.21611218916738,4,5,-9999,3364.615271125,0.033355712890625,-0.635223388671875,-0.76947021484375,3364.605276125,-1.30204768259873,0.03357523929652741,0.6926564027080178,0.0278344638645649,-0.06093872711062431,-0.08506385982036591,0.01539557799696922,0.01771873235702515,0.002501964569091797,XArbitraryZVertical,-0.2795480311851473,0.1931154176467288,0.5654070429404158,-0.7515811105965919,0.02583305165171623,-0.6385836601257324,-0.7691186666488647,0,0,0,-1,-1,3362.922261416667,walking,2,2022-05-12T10:41:51.615+02:00,2022-05-11T22:15:20.957+02:00,965,0.8971741,0.7273178,1.766518,725.3952,0,0,2022-05-12T10:41:51.615+02:00,674037711.6148489,0,-3.23,100.9488,1,0.93
2022-05-12T10:41:53.360+02:00,1652344910.999881,53.22899248921613,10.39847172797695,38.14962,0,0.84,204.2578125,98.21611218916738,4,5,-9999,3364.625266125,0.0372161865234375,-0.639862060546875,-0.7717437744140625,3364.615271125,-1.303071957036008,0.03357085890245312,0.6928319041013078,0.01595143973827362,-0.07014713436365128,-0.06973284482955933,0.005362419411540031,0.008194983005523682,-0.002767443656921387,XArbitraryZVertical,-0.2795131709241818,0.1933106393377667,0.5657733268026814,-0.7512682017939804,0.02582591958343983,-0.6387187242507935,-0.7690067887306213,0,0,0,-1,-1,3362.922261416667,walking,2,2022-05-12T10:41:51.615+02:00,2022-05-11T22:15:20.957+02:00,965,0.8971741,0.7273178,1.766518,725.3952,0,0,2022-05-12T10:41:51.615+02:00,674037711.6148489,0,-3.23,100.9488,1,0.93
2022-05-12T10:41:53.362+02:00,1652344910.999881,53.22899248921613,10.39847172797695,38.14962,0,0.84,204.2578125,98.21611218916738,4,5,-9999,3364.635261125,0.0476531982421875,-0.6440582275390625,-0.7731475830078125,3364.625266125,-1.303951954225996,0.03344918966306042,0.6929963824253516,0.001642941497266293,-0.07103610038757324,-0.06253751367330551,0.007626235485076904,0.003621816635131836,-0.0005651712417602539,XArbitraryZVertical,-0.2794548273004372,0.1935265150335946,0.5661028332730091,-0.7509862262255537,0.02572884410619736,-0.6388452649116516,-0.768904983997345,0,0,0,-1,-1,3362.922261416667,walking,2,2022-05-12T10:41:51.615+02:00,2022-05-11T22:15:20.957+02:00,965,0.8971741,0.7273178,1.766518,725.3952,0,0,2022-05-12T10:41:51.615+02:00,674037711.6148489,0,-3.23,100.9488,1,0.93
2022-05-12T10:41:53.363+02:00,1652344910.999881,53.22899248921613,10.39847172797695,38.14962,0,0.84,204.2578125,98.21611218916738,4,5,-9999,3364.645256125,0.0426483154296875,-0.63568115234375,-0.7803955078125,3364.635261125,-1.30499425105684,0.03366735421913249,0.6930674707416983,-0.03089050017297268,-0.05644970014691353,-0.06501851230859756,0.01132050156593323,-0.0009621977806091309,-0.002889811992645264,XArbitraryZVertical,-0.2794421650230262,0.1936107072175271,0.5664558836700773,-0.750702940385636,0.02589506283402443,-0.6388999819755554,-0.7688539624214172,0,0,0,-1,-1,3362.922261416667,walking,2,2022-05-12T10:41:51.615+02:00,2022-05-11T22:15:20.957+02:00,965,0.8971741,0.7273178,1.766518,725.3952,0,0,2022-05-12T10:41:51.615+02:00,674037711.6148489,0,-3.23,100.9488,1,0.93
2022-05-12T10:41:53.364+02:00,1652344910.999881,53.22899248921613,10.39847172797695,38.14962,0,0.84,204.2578125,98.21611218916738,4,5,-9999,3364.655251125,0.036834716796875,-0.6368255615234375,-0.783172607421875,3364.645256125,-1.306046501543951,0.03394337056210336,0.6928477127029727,-0.04168915376067162,-0.06535278260707855,-0.06518909335136414,0.02154055051505566,-0.005327403545379639,-0.004160463809967041,XArbitraryZVertical,-0.2793368130704729,0.1935909081584733,0.566836290920985,-0.7504599484378064,0.02611204050481319,-0.6387308835983276,-0.7689869999885559,0,0,0,-1,-1,3362.922261416667,walking,2,2022-05-12T10:41:51.615+02:00,2022-05-11T22:15:20.957+02:00,965,0.8971741,0.7273178,1.766518,725.3952,0,0,2022-05-12T10:41:51.615+02:00,674037711.6148489,0,-3.23,100.9488,1,0.93
2022-05-12T10:41:53.366+02:00,1652344910.999881,53.22899248921613,10.39847172797695,38.14962,0,0.84,204.2578125,98.21611218916738,4,5,-9999,3364.665246125,0.03936767578125,-0.62957763671875,-0.779510498046875,3364.655251125,-1.306962441690604,0.034038095021863,0.6924695338774376,-0.04823147505521774,-0.06345927715301514,-0.05235398188233376,0.01645460538566113,0.002758681774139404,-0.01116955280303955,XArbitraryZVertical,-0.2791344546757858,0.1935743020890363,0.5672081133354826,-0.7502585601391172,0.02619310095906258,-0.6384398341178894,-0.7692258954048157,0,0,0,-1,-1,3362.922261416667,walking,2,2022-05-12T10:41:51.615+02:00,2022-05-11T22:15:20.957+02:00,965,0.8971741,0.7273178,1.766518,725.3952,0,0,2022-05-12T10:41:51.615+02:00,674037711.6148489,0,-3.23,100.9488,1,0.93
2022-05-12T10:41:53.369+02:00,1652344910.999881,53.22899248921613,10.39847172797695,38.14962,0,0.84,204.2578125,98.21611218916738,4,5,-9999,3364.675241125,0.0372467041015625,-0.6308441162109375,-0.778411865234375,3364.665246125,-1.307772979975265,0.03404396174303482,0.692065984829892,-0.04637108743190765,-0.07402849197387695,-0.04738885164260864,0.01062771677970886,0.001303553581237793,-0.01368939876556396,XArbitraryZVertical,-0.2789077184453767,0.1935688282230235,0.5675554968003826,-0.7500816086950948,0.02620638161897659,-0.6381292343139648,-0.769483208656311,0,0,0,-1,-1,3362.922261416667,walking,2,2022-05-12T10:41:51.615+02:00,2022-05-11T22:15:20.957+02:00,965,0.8971741,0.7273178,1.766518,725.3952,0,0,2022-05-12T10:41:51.615+02:00,674037711.6148489,0,-3.23,100.9488,1,0.93
2022-05-12T10:41:53.379+02:00,1652344910.999881,53.22899248921613,10.39847172797695,38.14962,0,0.84,204.2578125,98.21611218916738,4,5,-9999,3364.685236125,0.037994384765625,-0.6339263916015625,-0.7806549072265625,3364.675241125,-1.308533552698758,0.03398807162614677,0.691629619418305,-0.04857964813709259,-0.07071392238140106,-0.04490651935338974,0.01319420337677002,0.008215427398681641,-0.009747564792633057,XArbitraryZVertical,-0.2786561273514983,0.1935698970270023,0.5678962636232503,-0.7499169951229385,0.02617283537983894,-0.6377931833267212,-0.7697629332542419,0,0,0,-1,-1,3362.922261416667,walking,2,2022-05-12T10:41:51.615+02:00,2022-05-11T22:15:20.957+02:00,965,0.8971741,0.7273178,1.766518,725.3952,0,0,2022-05-12T10:41:51.615+02:00,674037711.6148489,0,-3.23,100.9488,1,0.93
2022-05-12T10:41:53.391+02:00,1652344910.999881,53.22899248921613,10.39847172797695,38.14962,0,0.84,204.2578125,98.21611218916738,4,5,-9999,3364.695231125,0.0455780029296875,-0.635528564453125,-0.7823944091796875,3364.685236125,-1.309251792700564,0.03381321221760346,0.6911085606575949,-0.03659406304359436,-0.07569956034421921,-0.04850957542657852,0.01119661331176758,0.00654757022857666,-0.008312344551086426,XArbitraryZVertical,-0.2783434122919023,0.1935851096461212,0.5682469243437231,-0.7497635280227433,0.02604946680366993,-0.6373917460441589,-0.7700995206832886,0,0,0,-1,-1,3362.922261416667,walking,2,2022-05-12T10:41:51.615+02:00,2022-05-11T22:15:20.957+02:00,965,0.8971741,0.7273178,1.766518,725.3952,0,0,2022-05-12T10:41:51.615+02:00,674037711.6148489,0,-3.23,100.9488,1,0.93
