loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-05-12T10:41:04.913+02:00,1652344845.000011,53.22887063429163,10.3984035242292,36.81001,1.413575,0.764814,166.4408364120522,26.87362846743479,2.400000095367432,7.999579855010836,-9999,3324.02831,0.0452728271484375,-0.7433624267578125,-0.5881500244140625,3324.023312,2.138900309675296,0.05584140304379168,0.8147749499706837,0.05837586149573326,-0.04791826382279396,-0.105898030102253,-0.01604118943214417,0.0008712410926818848,0.08668112754821777,XArbitraryZVertical,0.1678699108853849,0.359636330029326,0.8101692885140992,0.4314013317180487,0.03828909248113632,-0.7275712490081787,-0.6849628090858459,0,0,0,-1,-1,3298.778609,walking,2,2022-05-12T10:40:32.398+02:00,2022-05-11T22:15:20.957+02:00,914,0.8930088,0.8197976,1.729005,688.5342,0,0,2022-05-12T10:41:03.043+02:00,674037663.0431966,0,-3.630001,100.9501,1,0.94
2022-05-12T10:41:04.917+02:00,1652344845.000011,53.22887063429163,10.3984035242292,36.81001,1.413575,0.764814,166.4408364120522,26.87362846743479,2.400000095367432,7.999579855010836,-9999,3324.038305,0.0480804443359375,-0.7469940185546875,-0.593505859375,3324.033307,2.137284449848656,0.05626400161512604,0.8149246900679555,-0.02194587327539921,-0.1052380129694939,-0.1120099946856499,0.006700992584228516,-0.01568865776062012,0.09668803215026855,XArbitraryZVertical,0.1680231238466223,0.3596516250056735,0.8098309965498235,0.4319639842790591,0.03857243061065674,-0.7276739478111267,-0.6848378777503967,0,0,0,-1,-1,3298.778609,walking,2,2022-05-12T10:40:32.398+02:00,2022-05-11T22:15:20.957+02:00,914,0.8930088,0.8197976,1.729005,688.5342,0,0,2022-05-12T10:41:03.043+02:00,674037663.0431966,0,-3.630001,100.9501,1,0.94
2022-05-12T10:41:04.919+02:00,1652344845.000011,53.22887063429163,10.3984035242292,36.81001,1.413575,0.764814,166.4408364120522,26.87362846743479,2.400000095367432,7.999579855010836,-9999,3324.0483,0.046905517578125,-0.73992919921875,-0.6073150634765625,3324.043302,2.135790339163946,0.05602229042978552,0.8142236715567555,-0.1088325679302216,-0.1616064757108688,-0.1075420081615448,0.009645581245422363,-0.01980125904083252,0.09185069799423218,XArbitraryZVertical,0.1682311336152833,0.3591936912326283,0.8096050067381027,0.4326871473371084,0.03843545168638229,-0.7271929383277893,-0.6853563785552979,0,0,0,-1,-1,3298.778609,walking,2,2022-05-12T10:40:32.398+02:00,2022-05-11T22:15:20.957+02:00,914,0.8930088,0.8197976,1.729005,688.5342,0,0,2022-05-12T10:41:03.043+02:00,674037663.0431966,0,-3.630001,100.9501,1,0.94
2022-05-12T10:41:04.931+02:00,1652344845.000011,53.22887063429163,10.3984035242292,36.81001,1.413575,0.764814,166.4408364120522,26.87362846743479,2.400000095367432,7.999579855010836,-9999,3324.058295,0.0220947265625,-0.755218505859375,-0.6289520263671875,3324.053297,2.134751382852595,0.05500879775286449,0.812959698622295,-0.1421706527471542,-0.1589113026857376,-0.06806656718254089,0.009114798158407211,-0.01360464096069336,0.07899725437164307,XArbitraryZVertical,0.1685418870784888,0.358381918885195,0.8095058563151128,0.4334239544438621,0.03779132664203644,-0.7263246774673462,-0.6863120794296265,0,0,0,-1,-1,3298.778609,walking,2,2022-05-12T10:40:32.398+02:00,2022-05-11T22:15:20.957+02:00,914,0.8930088,0.8197976,1.729005,688.5342,0,0,2022-05-12T10:41:03.043+02:00,674037663.0431966,0,-3.630001,100.9501,1,0.94
2022-05-12T10:41:04.933+02:00,1652344845.000011,53.22887063429163,10.3984035242292,36.81001,1.413575,0.764814,166.4408364120522,26.87362846743479,2.400000095367432,7.999579855010836,-9999,3324.06829,0.037811279296875,-0.7494049072265625,-0.6382293701171875,3324.063292,2.13405604363584,0.05396037538500301,0.8112540214808361,-0.1845503300428391,-0.1605627238750458,-0.04770324006676674,-0.01504320278763771,-0.03006738424301147,0.05863559246063232,XArbitraryZVertical,0.1687046935628369,0.3574143635271052,0.809551303109074,0.4340742391744379,0.03713852539658546,-0.7251512408256531,-0.6875873804092407,0,0,0,-1,-1,3298.778609,walking,2,2022-05-12T10:40:32.398+02:00,2022-05-11T22:15:20.957+02:00,914,0.8930088,0.8197976,1.729005,688.5342,0,0,2022-05-12T10:41:03.043+02:00,674037663.0431966,0,-3.630001,100.9501,1,0.94
2022-05-12T10:41:04.935+02:00,1652344845.000011,53.22887063429163,10.3984035242292,36.81001,1.413575,0.764814,166.4408364120522,26.87362846743479,2.400000095367432,7.999579855010836,-9999,3324.078285,0.0216827392578125,-0.7501373291015625,-0.6644744873046875,3324.073287,2.133526695376508,0.05266247623891843,0.8092609233680599,-0.2140839248895645,-0.1745606958866119,-0.04606499522924423,0.001489784568548203,-0.02562767267227173,0.05084782838821411,XArbitraryZVertical,0.168873303237483,0.3562910614882572,0.809658858274343,0.4347311075552257,0.03632208332419395,-0.7237774133682251,-0.6890769600868225,0,0,0,-1,-1,3298.778609,walking,2,2022-05-12T10:40:32.398+02:00,2022-05-11T22:15:20.957+02:00,914,0.8930088,0.8197976,1.729005,688.5342,0,0,2022-05-12T10:41:03.043+02:00,674037663.0431966,0,-3.630001,100.9501,1,0.94
2022-05-12T10:41:04.937+02:00,1652344845.000011,53.22887063429163,10.3984035242292,36.81001,1.413575,0.764814,166.4408364120522,26.87362846743479,2.400000095367432,7.999579855010836,-9999,3324.088279791667,0.0205535888671875,-0.7413330078125,-0.6848602294921875,3324.083282,2.132995898011317,0.05142260537185232,0.8072366062405235,-0.2020011693239212,-0.1578887701034546,-0.0562923327088356,-0.01385959982872009,-0.02775847911834717,0.02610898017883301,XArbitraryZVertical,0.1690112165553916,0.35516692367785,0.8097753537946212,0.4353800183247606,0.03554292768239975,-0.7223790287971497,-0.690583348274231,0,0,0,-1,-1,3298.778609,walking,2,2022-05-12T10:40:32.398+02:00,2022-05-11T22:15:20.957+02:00,914,0.8930088,0.8197976,1.729005,688.5342,0,0,2022-05-12T10:41:03.043+02:00,674037663.0431966,0,-3.630001,100.9501,1,0.94
2022-05-12T10:41:04.947+02:00,1652344845.000011,53.22887063429163,10.3984035242292,36.81001,1.413575,0.764814,166.4408364120522,26.87362846743479,2.400000095367432,7.999579855010836,-9999,3324.098274791667,-0.006134033203125,-0.747772216796875,-0.6871490478515625,3324.093276791667,2.132242596340895,0.05040525031607729,0.8053987305728575,-0.1917810887098312,-0.1566734313964844,-0.0845416784286499,-0.01435297727584839,-0.02022624015808105,0.007083892822265625,XArbitraryZVertical,0.1691402592609347,0.3541463187420699,0.8098303385466246,0.4360584658296136,0.03490717336535454,-0.7211069464683533,-0.6919439435005188,0,0,0,-1,-1,3298.778609,walking,2,2022-05-12T10:40:32.398+02:00,2022-05-11T22:15:20.957+02:00,914,0.8930088,0.8197976,1.729005,688.5342,0,0,2022-05-12T10:41:03.043+02:00,674037663.0431966,0,-3.630001,100.9501,1,0.94
2022-05-12T10:41:04.962+02:00,1652344845.000011,53.22887063429163,10.3984035242292,36.81001,1.413575,0.764814,166.4408364120522,26.87362846743479,2.400000095367432,7.999579855010836,-9999,3324.108269791667,0.0248565673828125,-0.7185516357421875,-0.7040252685546875,3324.103271791667,2.131051033891031,0.05006932093209084,0.8035209806156209,-0.1792032420635223,-0.104431539773941,-0.08720563352108002,-0.0408758819103241,-0.02796769142150879,0.006157815456390381,XArbitraryZVertical,0.169061083952235,0.3532208935292154,0.8098529604916543,0.4367970259506384,0.03474243357777596,-0.7198047041893005,-0.6933066844940186,0,0,0,-1,-1,3298.778609,walking,2,2022-05-12T10:40:32.398+02:00,2022-05-11T22:15:20.957+02:00,914,0.8930088,0.8197976,1.729005,688.5342,0,0,2022-05-12T10:41:03.043+02:00,674037663.0431966,0,-3.630001,100.9501,1,0.94
2022-05-12T10:41:04.966+02:00,1652344845.000011,53.22887063429163,10.3984035242292,36.81001,1.413575,0.764814,166.4408364120522,26.87362846743479,2.400000095367432,7.999579855010836,-9999,3324.118264791667,0.0274658203125,-0.7236480712890625,-0.6999359130859375,3324.113266791667,2.129695473781614,0.04998730743555009,0.8020777180956071,-0.1443782150745392,-0.1128406003117561,-0.1220100969076157,-0.009880304336547852,0.0002502202987670898,-0.00967860221862793,XArbitraryZVertical,0.1690056668241411,0.3525107910988259,0.8097883201437074,0.4375115393473049,0.03473744913935661,-0.7188020944595337,-0.6943464279174805,0,0,0,-1,-1,3298.778609,walking,2,2022-05-12T10:40:32.398+02:00,2022-05-11T22:15:20.957+02:00,914,0.8930088,0.8197976,1.729005,688.5342,0,0,2022-05-12T10:41:03.043+02:00,674037663.0431966,0,-3.630001,100.9501,1,0.94
